@relation higgs

@attribute mll numeric
@attribute mjj numeric
@attribute met-phi_centrality numeric
@attribute mt numeric
@attribute DYjj numeric
@attribute sumMlj numeric
@attribute dphill numeric
@attribute contOLV numeric
@attribute ptTotal numeric
@attribute label {-1, 1}

@data
0.06607,0.18247,0.49323,0.14439,0.31993,0.19458,0.06719,0.79077,0.16349,-1
0.38491,0.10414,0.0701,0.32627,0.1412,0.15601,0.79631,0.52462,0.1336,-1
0.33793,0.19429,0.07191,0.38028,0.42256,0.17304,0.68958,0.44503,0.245,-1
0.4323,0.1378,0.05029,0.46325,0.43057,0.14751,0.69027,0.28344,0.17604,-1
0.84425,0.99048,0.40201,0.50411,0.50746,0.75377,0.95621,0.78356,0.11347,-1
0.21184,0.156,0.66966,0.18716,0.3454,0.13894,0.65407,0.56672,0.45777,-1
0.74084,0.20657,0.05696,0.42467,0.39823,0.22722,0.83357,0.7286,0.28849,-1
0.38405,0.123,0.66683,0.27624,0.25358,0.19018,0.76291,0.15296,0.24679,-1
1.24764,0.36062,0.04984,0.98692,0.34496,0.60974,0.9933,0.95028,0.2665,-1
0.47285,0.07544,0.05157,0.45703,0.25022,0.1193,0.87701,0.67233,0.11918,-1
0.61635,0.19207,0.10468,0.58011,0.32415,0.22138,0.74443,0.34041,0.27091,-1
0.10068,0.6392,0.42635,0.50217,0.56683,0.38338,0.08067,0.86308,0.4208,-1
0.26339,0.29324,0.94743,0.14747,0.55899,0.18821,0.65908,0.195,0.24063,-1
0.94816,0.62345,0.43378,0.58627,0.60318,0.43912,0.28594,0.64373,0.15738,-1
0.52906,0.05152,0.26498,0.40883,0.21281,0.14322,0.56745,0.5664,0.22899,-1
0.26565,0.04265,0.3126,0.35229,0.19153,0.14737,0.29249,0.66138,0.10813,-1
0.35525,0.07558,0.06115,0.28936,0.22218,0.12401,0.75308,0.6719,0.11898,-1
0.0743,0.06273,0.40938,0.31057,0.2187,0.09319,0.12938,0.44541,0.16402,-1
0.18255,0.20223,0.08292,0.44501,0.28181,0.14472,0.40728,0.24604,0.32131,-1
0.56294,0.05663,0.05894,0.55365,0.1377,0.12654,0.79581,0.43957,0.47974,-1
0.15066,0.07372,0.14554,0.37289,0.24031,0.10874,0.28309,0.4752,0.46332,-1
